Sample name,Sex,Biosample ID,Population code,Population name,Superpopulation code,Superpopulation name,Population elastic ID,Data collections,PC1,PC2,PC3,PC4,PC5
HG01806,female,SAME124304,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0149843,-0.0353929,-0.00231599,-0.0162329,-0.00459663
HG01807,female,SAME124303,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0152027,-0.0359282,-0.00168406,-0.0162612,-0.0053407
HG01808,female,SAME124300,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151073,-0.0347544,-0.00185268,-0.0153055,-0.00445942
HG01809,female,SAME124299,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0153567,-0.0353474,-0.0017533,-0.0163511,-0.0041433
HG01810,male,SAME124519,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151392,-0.0349118,-0.00192791,-0.0154228,-0.00413053
HG01811,male,SAME125380,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0152742,-0.0353854,-0.00150908,-0.0158651,-0.00542207
HG01812,female,SAME124517,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0152329,-0.0358535,-0.0018802,-0.0160806,-0.00589933
HG01813,female,SAME124518,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0152063,-0.0356355,-0.0014465,-0.0155348,-0.00427667
HG01815,female,SAME124524,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0152136,-0.0351508,-0.00220629,-0.0158738,-0.00448813
HG01816,male,SAME124521,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0152516,-0.0355047,-0.0021164,-0.0158673,-0.00303804
HG01817,female,SAME124522,CDX,Dai Chinese,EAS,East Asian Ancestry,CDX,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0149528,-0.0347857,-0.00209501,-0.0154295,-0.00355458
HG01840,male,SAME123552,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.015136,-0.0346518,-0.00200066,-0.0148678,-0.00218214
HG01841,female,SAME123551,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.015083,-0.0341224,-0.00136868,-0.0150891,-0.00241566
HG01842,male,SAME123554,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0149868,-0.0341218,-0.00148637,-0.0150518,-0.00228559
HG01843,female,SAME123553,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151071,-0.033939,-0.00219031,-0.0145323,-0.0021862
HG01844,male,SAME123556,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151231,-0.0343333,-0.00177271,-0.014197,-0.00237356
HG01845,female,SAME123555,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151321,-0.0343215,-0.00212806,-0.0146412,-0.00294308
HG01846,male,SAME123558,KHV,"Kinh,Kinh Vietnamese",EAS,"East Asia (SGDP),East Asian Ancestry","KinhSGDP,KHV","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0149072,-0.033653,-0.00202041,-0.0143305,-0.00247766
HG01847,female,SAME123557,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151506,-0.0341322,-0.00197658,-0.0151067,-0.00223578
HG01848,female,SAME123548,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150315,-0.0340015,-0.00197164,-0.014401,-0.00214442
HG01849,male,SAME125110,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0153895,-0.0342434,-0.00231365,-0.0148978,-0.0025723
HG01850,female,SAME123752,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0148082,-0.0336677,-0.00154345,-0.014307,-0.00223246
HG01851,female,SAME123753,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151279,-0.0348619,-0.00170913,-0.0153939,-0.00328879
HG01852,male,SAME123750,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151067,-0.0338162,-0.001799,-0.0148807,-0.00258831
HG01853,female,SAME123751,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.015172,-0.0344021,-0.00199943,-0.0142925,-0.00325661
HG01855,female,SAME123749,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150826,-0.033537,-0.00202711,-0.014314,-0.00139662
HG01857,female,SAME123748,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151689,-0.0345888,-0.00203702,-0.014689,-0.00244006
HG01858,female,SAME123754,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151129,-0.0345868,-0.00232431,-0.0152472,-0.00280687
HG01859,female,SAME123535,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151666,-0.0346361,-0.00114058,-0.014999,-0.00328007
HG01860,male,SAME123201,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150665,-0.0344047,-0.00226981,-0.0151927,-0.00335561
HG01861,male,SAME123200,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151462,-0.0342312,-0.00176408,-0.0138553,-0.00211786
HG01862,female,SAME123199,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.015069,-0.0340409,-0.00236644,-0.0140042,-0.00177347
HG01863,female,SAME123198,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150336,-0.0343204,-0.00195558,-0.0137438,-0.0029356
HG01864,male,SAME123197,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0148291,-0.0341584,-0.00232745,-0.0139679,-0.00254906
HG01865,male,SAME123196,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151113,-0.0343244,-0.00233554,-0.0141067,-0.00413492
HG01866,male,SAME123195,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.014672,-0.0327122,-0.00242785,-0.0127942,-0.00130317
HG01867,male,SAME123194,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0147452,-0.0335344,-0.00224697,-0.0140494,-0.00190034
HG01868,female,SAME123193,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150874,-0.0338967,-0.0022869,-0.0138751,-0.00305061
HG01869,female,SAME123192,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150585,-0.0340442,-0.00203218,-0.0138742,-0.00328643
HG01870,female,SAME123397,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150792,-0.0346168,-0.00127072,-0.0137388,-0.00521783
HG01871,female,SAME123398,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0149659,-0.0347755,-0.00232992,-0.0137407,-0.00521623
HG01872,male,SAME123995,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0148773,-0.0344075,-0.00126323,-0.0124864,-0.00427371
HG01873,male,SAME123400,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150366,-0.0346765,-0.00153122,-0.0133919,-0.00722389
HG01874,female,SAME123396,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0150037,-0.0344065,-0.00180444,-0.0134572,-0.00531555
HG01878,female,SAME123394,KHV,Kinh Vietnamese,EAS,East Asian Ancestry,KHV,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.015164,-0.0342436,-0.00200396,-0.0133508,-0.00482946
HG01879,male,SAME1839037,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0265311,-3.67194e-05,0.00496599,-0.00721937,0.018845
HG01880,female,SAME1839109,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0142277,-0.000251408,-0.00683201,0.00141805,0.0271737
HG01881,female,SAME1839193,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01882,male,SAME122849,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0328725,-0.00308089,0.00483742,-0.00551233,0.0243166
HG01883,female,SAME122848,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0278989,-0.000354117,0.00472184,-0.00717751,0.0195628
HG01884,female,SAME122845,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01885,male,SAME122844,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.03161,-0.00235605,0.0046545,-0.00567527,0.0219374
HG01886,female,SAME122847,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0296875,-0.000530244,0.00564082,-0.00557289,0.0184437
HG01887,male,SAME122846,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01888,male,SAME122852,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01889,female,SAME122851,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0335034,-0.00316776,0.00487895,-0.00528298,0.0203029
HG01890,male,SAME123028,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 3,1000 Genomes phase 3 release",0.0290576,-0.00034219,0.00530692,-0.0068389,0.0186366
HG01891,female,SAME123029,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01892,male,SAME123026,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0122657,-0.00361267,0.0530464,0.0537639,0.0103343
HG01893,female,SAME123027,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.00881885,0.000324786,0.0447637,0.0406881,0.0107666
HG01894,female,SAME1840357,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0307648,-0.00156159,0.00472875,-0.00666958,0.020088
HG01895,male,SAME1840349,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01896,female,SAME1840348,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0327727,-0.00343164,0.00474782,-0.00546667,0.0225172
HG01897,male,SAME1840343,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01898,female,SAME124383,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01912,male,SAME1839779,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0298753,-0.00122207,0.00477147,-0.00595664,0.0215938
HG01914,male,SAME1839768,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0271901,0.00029536,0.00556743,-0.00759478,0.0206756
HG01915,female,SAME1839757,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0307576,-0.00221276,0.00477028,-0.00609886,0.0219441
HG01916,female,SAME1839853,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01917,male,SAME123235,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0153476,-0.00687761,0.0634573,0.0688049,0.0110892
HG01918,female,SAME123240,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151934,-0.00360846,0.0568827,0.0591437,0.00934048
HG01919,female,SAME123239,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01920,male,SAME123789,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0168167,-0.0111308,0.071586,0.0822049,0.0125827
HG01921,female,SAME123790,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0154443,-0.00355533,0.056307,0.0570122,0.00947974
HG01922,female,SAME123787,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01923,male,SAME123788,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0162063,-0.00953603,0.0687107,0.0785276,0.0116273
HG01924,female,SAME123785,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0101485,-0.00718378,0.0509401,0.0525845,0.00975143
HG01925,female,SAME123786,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01926,male,SAME123783,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0166112,-0.0113493,0.0722004,0.0841459,0.0129891
HG01927,female,SAME123784,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0164605,-0.00943973,0.0679335,0.078035,0.0119829
HG01928,male,SAME123782,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01932,male,SAME123587,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0156589,-0.00394618,0.05975,0.06471,0.0104149
HG01933,female,SAME123586,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.010639,-0.00385627,0.0470106,0.046452,0.00993848
HG01934,male,SAME123589,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01935,male,SAME123588,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0149905,-0.00221595,0.0562097,0.0577604,0.00824824
HG01936,female,SAME123591,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.013277,-0.000410556,0.0489227,0.0487342,0.00945482
HG01937,male,SAME123590,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01938,male,SAME123593,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0164995,-0.0111947,0.0705213,0.0825828,0.0120397
HG01939,female,SAME123592,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0148732,-0.00329178,0.0565979,0.0602943,0.0103569
HG01940,female,SAME124148,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01941,male,SAME124149,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0127441,-0.00640197,0.057055,0.063564,0.00992004
HG01942,female,SAME124150,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0155183,-0.00585983,0.061762,0.0672541,0.0105094
HG01943,male,SAME124151,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01944,male,SAME124152,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0151228,-0.0163251,0.0381898,0.0360595,0.00509861
HG01945,female,SAME124153,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0153137,-0.00416958,0.0588438,0.0634784,0.00865555
HG01946,male,SAME124154,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01947,male,SAME124155,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0132014,0.00075843,0.0464207,0.0436028,0.00758589
HG01948,female,SAME124144,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.00714896,-0.00733595,0.0471595,0.0499119,0.0115573
HG01949,female,SAME124145,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01950,male,SAME123977,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0132281,-0.00779419,0.062039,0.0689822,0.0108449
HG01951,female,SAME123976,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0152422,-0.0105725,0.0670657,0.0780317,0.0128963
HG01952,male,SAME123975,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01953,male,SAME123974,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0154251,-0.00794038,0.0660003,0.0741606,0.00922318
HG01954,female,SAME123980,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0161121,-0.00832141,0.0685137,0.0782857,0.00965919
HG01955,female,SAME123979,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01956,female,SAME123978,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0309921,-0.00148008,0.00517107,-0.00635172,0.0227324
HG01958,female,SAME1839349,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",0.0276938,-0.000420623,0.00543955,-0.00717641,0.0204919
HG01959,female,SAME1839343,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01960,female,SAME1839076,ACB,African Caribbean,AFR,African Ancestry,ACB,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01961,male,SAME1839067,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0155181,-0.0105706,0.0622013,0.0881287,-0.0244679
HG01965,female,SAME1839145,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0095267,0.0010422,0.036903,0.0489765,-0.0285879
HG01967,male,SAME124530,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.014084,0.00225131,0.049881,0.0475743,0.00465236
HG01968,female,SAME124532,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0164461,-0.0107255,0.0705423,0.0814963,0.0104016
HG01969,female,SAME124533,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01970,male,SAME124327,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.014561,0.000401315,0.0515838,0.0510516,0.00599012
HG01971,female,SAME124326,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.00690309,-0.00056823,0.0448872,0.043169,0.00854068
HG01972,female,SAME124329,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01973,female,SAME124328,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0137543,-0.00545429,0.0597524,0.0651757,0.00793859
HG01974,male,SAME124323,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0163727,-0.0102876,0.0707474,0.0817248,0.00837146
HG01975,female,SAME124322,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01976,female,SAME124325,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0145224,0.000143243,0.052724,0.0528483,0.0055832
HG01977,male,SAME124324,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0153046,-0.00409376,0.0602541,0.0650587,0.00679999
HG01978,female,SAME124332,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",,,,,
HG01979,male,SAME124331,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0146026,-0.000887996,0.0534305,0.0544271,0.006719
HG01980,female,SAME124917,PEL,Peruvian,AMR,American Ancestry,PEL,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release",-0.0139203,-0.00243122,0.0556171,0.0579478,0.00821312
